x y t u
0 0 0 0.551724
0.03125 0 0 0.566059
0 0.03125 0 0.561096
0.03125 0.03125 0 0.575928
0 0 0.03125 0.538657
0.03125 0 0.03125 0.552221
0 0.03125 0.03125 0.548502
0.03125 0.03125 0.03125 0.562569
0.0625 0 0 0.580499
0.0625 0.03125 0 0.590883
0.0625 0 0.03125 0.565859
0.0625 0.03125 0.03125 0.576727
0 0.0625 0 0.570156
0.03125 0.0625 0 0.585477
0 0.0625 0.03125 0.558105
0.03125 0.0625 0.03125 0.572673
0.0625 0.0625 0 0.600939
0.0625 0.0625 0.03125 0.587349
0 0 0.0625 0.529341
0.03125 0 0.0625 0.542172
0 0.03125 0.0625 0.539698
0.03125 0.03125 0.0625 0.55304
0.0625 0 0.0625 0.555039
0.0625 0.03125 0.0625 0.566431
0 0.0625 0.0625 0.549877
0.03125 0.0625 0.0625 0.563731
0.0625 0.0625 0.0625 0.57765
0.09375 0 0 0.595003
0.09375 0.03125 0 0.605917
0.09375 0 0.03125 0.579531
0.09375 0.03125 0.03125 0.590934
0.125 0 0 0.609524
0.125 0.03125 0 0.620982
0.125 0 0.03125 0.593192
0.125 0.03125 0.03125 0.605143
0.09375 0.0625 0 0.616496
0.09375 0.0625 0.03125 0.602089
0.125 0.0625 0 0.632099
0.125 0.0625 0.03125 0.616845
0.09375 0 0.0625 0.5679
0.09375 0.03125 0.0625 0.579831
0.125 0 0.0625 0.580712
0.125 0.03125 0.0625 0.593191
0.09375 0.0625 0.0625 0.59159
0.125 0.0625 0.0625 0.605503
0 0.09375 0 0.578858
0.03125 0.09375 0 0.594657
0 0.09375 0.03125 0.56742
0.03125 0.09375 0.03125 0.582483
0.0625 0.09375 0 0.610614
0.0625 0.09375 0.03125 0.597671
0 0.125 0 0.587156
0.03125 0.125 0 0.603418
0 0.125 0.03125 0.576402
0.03125 0.125 0.03125 0.591951
0.0625 0.125 0 0.619855
0.0625 0.125 0.03125 0.607643
0 0.09375 0.0625 0.559835
0.03125 0.09375 0.0625 0.5742
0.0625 0.09375 0.0625 0.588645
0 0.125 0.0625 0.569525
0.03125 0.125 0.0625 0.584397
0.0625 0.125 0.0625 0.599366
0.09375 0.09375 0 0.626683
0.09375 0.09375 0.03125 0.61294
0.125 0.09375 0 0.642812
0.125 0.09375 0.03125 0.628238
0.09375 0.125 0 0.63642
0.09375 0.125 0.03125 0.623431
0.125 0.125 0 0.653061
0.125 0.125 0.03125 0.639263
0.09375 0.09375 0.0625 0.603127
0.125 0.09375 0.0625 0.617593
0.09375 0.125 0.0625 0.614385
0.125 0.125 0.0625 0.629403
0 0 0.09375 0.523763
0.03125 0 0.09375 0.535907
0 0.03125 0.09375 0.534672
0.03125 0.03125 0.09375 0.547331
0.0625 0 0.09375 0.54804
0.0625 0.03125 0.09375 0.559991
0 0.0625 0.09375 0.545463
0.03125 0.0625 0.09375 0.558642
0.0625 0.0625 0.09375 0.571836
0 0 0.125 0.521906
0.03125 0 0.125 0.53341
0 0.03125 0.125 0.53341
0.03125 0.03125 0.125 0.54543
0.0625 0 0.125 0.544851
0.0625 0.03125 0.125 0.557397
0 0.0625 0.125 0.544851
0.03125 0.0625 0.125 0.557397
0.0625 0.0625 0.125 0.569899
0.09375 0 0.09375 0.560122
0.09375 0.03125 0.09375 0.57261
0.125 0 0.09375 0.572109
0.125 0.03125 0.09375 0.585141
0.09375 0.0625 0.09375 0.584999
0.125 0.0625 0.09375 0.598084
0.09375 0 0.125 0.55619
0.09375 0.03125 0.125 0.569267
0.125 0 0.125 0.567381
0.125 0.03125 0.125 0.580995
0.09375 0.0625 0.125 0.582313
0.125 0.0625 0.125 0.594589
0 0.09375 0.09375 0.556094
0.03125 0.09375 0.09375 0.569797
0.0625 0.09375 0.09375 0.583527
0 0.125 0.09375 0.56652
0.03125 0.125 0.09375 0.580747
0.0625 0.125 0.09375 0.595016
0 0.09375 0.125 0.55619
0.03125 0.09375 0.125 0.569268
0.0625 0.09375 0.125 0.582313
0 0.125 0.125 0.567381
0.03125 0.125 0.125 0.580995
0.0625 0.125 0.125 0.594589
0.09375 0.09375 0.09375 0.59724
0.125 0.09375 0.09375 0.610883
0.09375 0.125 0.09375 0.609279
0.125 0.125 0.09375 0.623483
0.09375 0.09375 0.125 0.595279
0.125 0.09375 0.125 0.608113
0.09375 0.125 0.125 0.608113
0.125 0.125 0.125 0.621512
0.15625 0 0 0.62401
0.15625 0.03125 0 0.636025
0.15625 0 0.03125 0.606793
0.15625 0.03125 0.03125 0.619303
0.1875 0 0 0.638404
0.1875 0.03125 0 0.650985
0.1875 0 0.03125 0.620279
0.1875 0.03125 0.03125 0.633357
0.15625 0.0625 0 0.647691
0.15625 0.0625 0.03125 0.631563
0.1875 0.0625 0 0.663212
0.1875 0.0625 0.03125 0.646184
0.15625 0 0.0625 0.593427
0.15625 0.03125 0.0625 0.606463
0.1875 0 0.0625 0.605993
0.1875 0.03125 0.0625 0.619593
0.15625 0.0625 0.0625 0.619338
0.1875 0.0625 0.0625 0.633035
0.21875 0 0 0.652645
0.21875 0.03125 0 0.6658
0.21875 0 0.03125 0.633594
0.21875 0.03125 0.03125 0.647244
0.25 0 0 0.666667
0.25 0.03125 0 0.680399
0.25 0 0.03125 0.646675
0.25 0.03125 0.03125 0.6609
0.21875 0.0625 0 0.678595
0.21875 0.0625 0.03125 0.660646
0.25 0.0625 0 0.693767
0.25 0.0625 0.03125 0.674879
0.21875 0 0.0625 0.618355
0.21875 0.03125 0.0625 0.632521
0.25 0 0.0625 0.630455
0.25 0.03125 0.0625 0.645186
0.21875 0.0625 0.0625 0.646536
0.25 0.0625 0.0625 0.659774
0.15625 0.09375 0 0.658945
0.15625 0.09375 0.03125 0.643511
0.1875 0.09375 0 0.675016
0.1875 0.09375 0.03125 0.658697
0.15625 0.125 0 0.669719
0.15625 0.125 0.03125 0.655083
0.1875 0.125 0 0.686327
0.1875 0.125 0.03125 0.670826
0.15625 0.09375 0.0625 0.631991
0.1875 0.09375 0.0625 0.64626
0.15625 0.125 0.0625 0.644362
0.1875 0.125 0.0625 0.659201
0.21875 0.09375 0 0.690958
0.21875 0.09375 0.03125 0.67373
0.25 0.09375 0 0.706694
0.25 0.09375 0.03125 0.688538
0.21875 0.125 0 0.702814
0.21875 0.125 0.03125 0.686424
0.25 0.125 0 0.719101
0.25 0.125 0.03125 0.701802
0.21875 0.09375 0.0625 0.660336
0.25 0.09375 0.0625 0.674151
0.21875 0.125 0.0625 0.673853
0.25 0.125 0.0625 0.688245
0.15625 0 0.09375 0.583953
0.15625 0.03125 0.09375 0.597536
0.1875 0 0.09375 0.595605
0.1875 0.03125 0.09375 0.60974
0.15625 0.0625 0.09375 0.611037
0.1875 0.0625 0.09375 0.623804
0.15625 0 0.125 0.578377
0.15625 0.03125 0.125 0.59253
0.1875 0 0.125 0.58913
0.1875 0.03125 0.125 0.603819
0.15625 0.0625 0.125 0.606674
0.1875 0.0625 0.125 0.618514
0.21875 0 0.09375 0.60701
0.21875 0.03125 0.09375 0.621698
0.25 0 0.09375 0.618113
0.25 0.03125 0.09375 0.633349
0.21875 0.0625 0.09375 0.636325
0.25 0.0625 0.09375 0.648536
0.21875 0 0.125 0.599587
0.21875 0.03125 0.125 0.614808
0.25 0 0.125 0.609695
0.25 0.03125 0.125 0.625439
