x t u
0 0 0
0.0078125 0 0.0245412
0 0.0078125 0
0.0078125 0.0078125 0.0246365
0.015625 0 0.0490677
0.015625 0.0078125 0.0492583
0 0.015625 0
0.0078125 0.015625 0.0247307
0.015625 0.015625 0.0494466
0.0234375 0 0.0735646
0.0234375 0.0078125 0.0738503
0.03125 0 0.0980171
0.03125 0.0078125 0.0983978
0.0234375 0.015625 0.0741326
0.03125 0.015625 0.098774
0 0.0234375 0
0.0078125 0.0234375 0.0248238
0.015625 0.0234375 0.0496327
0 0.03125 0
0.0078125 0.03125 0.0249158
0.015625 0.03125 0.0498166
0.0234375 0.0234375 0.0744117
0.03125 0.0234375 0.0991458
0.0234375 0.03125 0.0746874
0.03125 0.03125 0.0995132
0.0390625 0 0.122411
0.0390625 0.0078125 0.122886
0.046875 0 0.14673
0.046875 0.0078125 0.1473
0.0390625 0.015625 0.123356
0.046875 0.015625 0.147864
0.0546875 0 0.170962
0.0546875 0.0078125 0.171626
0.0625 0 0.19509
0.0625 0.0078125 0.195848
0.0546875 0.015625 0.172282
0.0625 0.015625 0.196597
0.0390625 0.0234375 0.12382
0.046875 0.0234375 0.14842
0.0390625 0.03125 0.124279
0.046875 0.03125 0.14897
0.0546875 0.0234375 0.172931
0.0625 0.0234375 0.197337
0.0546875 0.03125 0.173571
0.0625 0.03125 0.198068
0 0.0390625 0
0.0078125 0.0390625 0.0250067
0.015625 0.0390625 0.0499984
0 0.046875 0
0.0078125 0.046875 0.0250965
0.015625 0.046875 0.0501779
0.0234375 0.0390625 0.0749599
0.03125 0.0390625 0.0998763
0.0234375 0.046875 0.0752291
0.03125 0.046875 0.100235
0 0.0546875 0
0.0078125 0.0546875 0.0251852
0.015625 0.0546875 0.0503553
0 0.0625 0
0.0078125 0.0625 0.0252729
0.015625 0.0625 0.0505305
0.0234375 0.0546875 0.075495
0.03125 0.0546875 0.100589
0.0234375 0.0625 0.0757577
0.03125 0.0625 0.100939
0.0390625 0.0390625 0.124732
0.046875 0.0390625 0.149514
0.0390625 0.046875 0.12518
0.046875 0.046875 0.15005
0.0546875 0.0390625 0.174205
0.0625 0.0390625 0.198791
0.0546875 0.046875 0.17483
0.0625 0.046875 0.199504
0.0390625 0.0546875 0.125623
0.046875 0.0546875 0.150581
0.0390625 0.0625 0.12606
0.046875 0.0625 0.151105
